id,brand,sku_model,itemname,itemdescription,itemupc,singleitemlength,singleitemweight,singleitemwidth,singleitemheight,singleitemdepth,singlepackagelength,singlepackagewidth,singlepackageheight,singlepackageweight,itemdimunit,itemweightunit,packagedimunit,liquid,glass,sealedcap,packagingtype,itemfluidounces,itemvolumemil,itemingredients,itembenefits,itemsuggesteduse,itemdirections,itemcountryoforigin,shelflife,itemmainimagelink,itemimagelink2,itemimagelink3,itemimagelink4,itemimagelink5,electroniccomponent,voltage,electriccertification,itemcasepack,casepackupc,innerpackupc,singleitemcostusd,singleitemretailusd,singleitemmapusd,batteriesrequired,batteriesincluded,howmanybatteries,batterytype,brandstory,itemsioc,itempfp,duallanguage,hazmat,unnumber,canadiancert,datesubmittedtoamazon,amazonasin,amazonlivelink,msdslink,datesubmittedtodb,warnings,whatsincluded,amazontitle,amazonbulletpoint1,amazonbulletpoint2,amazonbulletpoint3,amazonbulletpoint4,amazonbulletpoint5,amazondescription,amazonkeywords,labellanguages,amazonchannel,amazonvendorcode,amazonsubmissionid
49,brand name...,18904,100,,2004,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-19 00:05:12,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
50,this gets a brand name,18905,101,,2005,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 20:47:12,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
51,added another one,18906,102,,2006,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0000-00-00 00:00:00,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
52,added another one,18907,103,,2007,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0000-00-00 00:00:00,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
53,added another one,18908,104,,2008,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0000-00-00 00:00:00,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
54,Brand name,8388607,105,,8388607,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-17 22:45:47,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
55,Upload and edit works,198287,106,,198287,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 14:46:08,,,,2018-02-14 20:09:50,,,,,,,,,,,,slslslslslsl,,0
56,added another one,18903,107,,2003,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 14:46:56,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
57,checking add product,1111111,108,,2222222,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 15:01:23,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
62,slslslslslsls,99922,109,,3333444,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 15:30:14,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
